电影名,主演,上映日期,评分,影评数,热门影评
源代码,杰克·吉伦哈尔,"
                            2011 ",8.5,842845人,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
海边的曼彻斯特,卡西·阿弗莱克,"
                            2016 ",8.6,550421人,我们都有权利不与自己的过去和解。
雨人,达斯汀·霍夫曼,"
                            1988 ",8.7,407688人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
波西米亚狂想曲,拉米·马雷克,"
                            2018 ",8.6,612558人,
初恋这件小事,未知,"
                            2010 ",8.5,986447人,黑小鸭速效美白记。
恋恋笔记本,瑞恩·高斯林,"
                            2004 ",8.5,678201人,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
人工智能,海利·乔·奥斯蒙,"
                            2001 ",8.7,451718人,对爱的执着，可以超越一切。
青蛇,张曼玉,"
                            1993 ",8.6,532485人,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
虎口脱险,路易·德·菲耐斯,"
                            1966 ",8.9,260462人,永远看不腻的喜剧。
终结者2：审判日,阿诺·施瓦辛格,"
                            1991 ",8.8,345303人,少见的超越首部的续集，动作片中的经典。
疯狂的麦克斯4：狂暴之路,汤姆·哈迪,"
                            2015 ",8.7,536436人,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
末路狂花,吉娜·戴维斯,"
                            1991 ",8.9,262803人,没有了退路，只好飞向自由。
罗生门,三船敏郎,"
                            1950 ",8.8,318339人,人生的N种可能性。
新龙门客栈,张曼玉,"
                            1992 ",8.7,449527人,嬉笑怒骂，调风动月。
萤火虫之墓,辰己努,"
                            1988 ",8.7,407615人,幸福是生生不息，却难以触及的远。 
千钧一发,伊桑·霍克,"
                            1997 ",8.8,303242人,一部能引人思考的科幻励志片。
无耻混蛋,布拉德·皮特,"
                            2009 ",8.7,484011人,昆汀同学越来越变态了，比北野武还杜琪峰。
崖上的波妞,奈良柚莉爱,"
                            2008 ",8.6,504378人,
花束般的恋爱,菅田将晖,"
                            2021 ",8.6,637037人,
彗星来的那一夜,艾米丽·芭尔多尼,"
                            2013 ",8.6,588688人,小成本大魅力。
